X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
404376.656300001,135223.388300002,25046298,2025/03/31 10:22:59+00,MIDNIGHT,OTHERS,THEFT/OTHER,3700 - 3899 BLOCK OF D STREET SE,404376.656258014,135223.388282918,7,7F,6,603,Cluster 32,007703 3,007703,Precinct 107,38.8848378094,-76.949555782,,2025/03/31 09:38:00+00,,710830472,
393173.950000003,142324.530000001,25047515,2025/04/02 12:31:53+00,DAY,OTHERS,THEFT/OTHER,4500 - 4599 BLOCK OF 40TH STREET NW,393173.95,142324.53,3,3E,2,202,Cluster 11,001100 4,001100,Precinct 32,38.9487916125,-77.0787458915,,2025/04/02 12:09:00+00,2025/04/02 12:12:00+00,710830473,
400406.030000001,136019.25,25048623,2025/04/04 04:50:33+00,MIDNIGHT,OTHERS,THEFT F/AUTO,700 - 799 BLOCK OF CONSTITUTION AVENUE NE,400406.03,136019.25,6,6C,1,108,Cluster 25,008302 3,008302,Precinct 85,38.8920180311,-76.9953197316,,2025/04/04 04:29:00+00,2025/04/04 04:34:00+00,710830474,
404978.641800001,136064.854800001,25048753,2025/04/04 14:13:03+00,DAY,OTHERS,THEFT/OTHER,100 - 199 BLOCK OF 42ND STREET NE,404978.641794573,136064.854811699,7,7F,6,603,Cluster 32,009603 1,009603,Precinct 102,38.8924148526,-76.9426113558,,2025/03/28 20:30:00+00,2025/03/31 13:00:00+00,710830475,
394750.630000003,144212.77,25048914,2025/04/04 21:07:04+00,EVENING,OTHERS,THEFT F/AUTO,2900 - 3099 BLOCK OF NORTHAMPTON STREET NW,394750.63,144212.77,4,3/4G,2,201,Cluster 10,001402 1,001402,Precinct 52,38.9658122052,-77.0605716368,,2025/04/04 13:00:00+00,2025/04/04 17:00:00+00,710830476,
391442.840000004,140531.449999999,25049028,2025/04/05 02:04:01+00,EVENING,OTHERS,THEFT F/AUTO,4900 - 4999 BLOCK OF LOWELL STREET NW,391442.84,140531.45,3,3D,2,205,Cluster 13,000904 1,000904,Precinct 8,38.932623879,-77.0986937461,,2025/04/04 21:33:00+00,2025/04/04 21:36:00+00,710830477,
401625.82,141569.710000001,25049124,2025/04/05 00:12:23+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1700 - 1799 BLOCK OF BUNKER HILL ROAD NE,401625.82,141569.71,5,5B,5,503,Cluster 20,009503 2,009503,Precinct 67,38.9420169977,-76.9812461871,,2025/04/04 23:34:00+00,2025/04/05 00:00:00+00,710830478,
400436.819200002,135441.241,25049241,2025/04/05 04:16:48+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,200 - 299 BLOCK OF 8TH STREET SE,400436.819166358,135441.24095512,6,6B,1,107,Cluster 26,006600 2,006600,Precinct 89,38.8868110939,-76.9949651953,,2025/04/04 21:30:00+00,2025/04/05 04:08:00+00,710830479,
400525.780000001,130811.859999999,25049629,2025/04/05 23:15:18+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,800 - 899 BLOCK OF MALCOLM X AVENUE SE,400525.78,130811.86,8,8C,7,705,Cluster 39,010400 1,010400,Precinct 123,38.8451076763,-76.9939433673,,2025/04/04 11:30:00+00,2025/04/05 23:11:00+00,710830480,
399432.079999998,138303.390000001,25049866,2025/04/06 14:25:49+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1ST STREET NE AND R STREET NE,399432.07999743,138303.39001378,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9125942848,-77.0065482474,,2025/04/06 13:30:00+00,2025/04/06 14:18:00+00,710830481,
399489.779200003,134556.8836,25050100,2025/04/06 23:09:24+00,EVENING,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF 1ST STREET SE,399489.77916548,134556.883610299,6,8F,1,106,Cluster 27,007202 2,007202,Precinct 131,38.8788444223,-77.0058801803,CAPITOL RIVERFRONT,2025/04/06 06:00:00+00,2025/04/06 23:09:00+00,710830482,
398584.109999999,142989.359999999,25050313,2025/04/07 12:10:21+00,DAY,OTHERS,THEFT F/AUTO,5300 - 5328 BLOCK OF KANSAS AVENUE NW,398584.11,142989.36,4,4D,4,403,Cluster 18,002102 6,002102,Precinct 57,38.9548059615,-77.0163352033,,2025/04/07 11:17:00+00,2025/04/07 12:02:00+00,710830483,
397694.829999998,146283.34,25050878,2025/04/08 21:51:27+00,EVENING,OTHERS,THEFT/OTHER,7816 - 7899 BLOCK OF GEORGIA AVENUE NW,397694.83,146283.34,4,4A,4,401,Cluster 16,001600 1,001600,Precinct 62,38.9844770368,-77.0266059526,,2025/04/08 12:55:00+00,2025/04/08 14:07:00+00,710830484,
401427.159999996,137980.100000001,25051825,2025/04/10 02:46:46+00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,1200 - 1299 BLOCK OF MOUNT OLIVET ROAD NE,401427.16,137980.1,5,5D,5,506,Cluster 23,008804 2,008804,Precinct 78,38.9096810032,-76.9835451911,,2025/04/10 01:06:00+00,2025/04/10 02:00:00+00,710830485,
391451.490000002,140013.460000001,25039048,2025/03/18 20:34:02+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,5000 - 5027 BLOCK OF GARFIELD STREET NW,391451.49,140013.46,3,3D,2,205,Cluster 13,000902 1,000902,Precinct 8,38.9279577523,-77.0985875298,,2025/03/18 16:30:00+00,2025/03/18 17:30:00+00,710830586,
401326.979999997,131794.710000001,25039654,2025/03/20 02:50:24+00,EVENING,OTHERS,THEFT/OTHER,3000 - 3038 BLOCK OF STANTON ROAD SE,401326.98,131794.71,8,8B,7,703,Cluster 37,007407 1,007407,Precinct 118,38.8539607741,-76.9847121853,,2025/03/19 15:38:00+00,2025/03/19 15:39:00+00,710830587,
397430.659999996,136664.370000001,25040403,2025/03/21 00:14:15+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2025/03/20 22:45:00+00,2025/03/20 22:55:00+00,710830588,
395652.109999999,137055.530000001,25043075,2025/03/25 22:01:28+00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF 23RD STREET NW,395652.11,137055.53,2,2A,2,207,Cluster 5,005601 3,005601,Precinct 3,38.9013425592,-77.0501242602,,2025/03/25 18:00:00+00,2025/03/25 18:01:00+00,710830589,
402603.969999999,133930.899999999,25043153,2025/03/25 23:30:39+00,EVENING,OTHERS,THEFT F/AUTO,2500 - 2599 BLOCK OF PENNSYLVANIA AVENUE SE,402603.97,133930.9,7,7B,6,605,Cluster 34,007709 2,007709,Precinct 111,38.8732016065,-76.9699922042,,2025/03/25 22:33:00+00,2025/03/25 23:30:00+00,710830590,
402684.539999999,132229.989999998,25043159,2025/03/27 19:03:06+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2500 - 2699 BLOCK OF ALABAMA AVENUE SE,402684.54,132229.99,8,8B,7,702,Cluster 36,007502 2,007502,Precinct 134,38.8578788663,-76.9690703676,,2025/03/25 22:59:00+00,2025/03/26 00:34:00+00,710830591,
400846.745499998,134715.396000002,25043566,2025/03/26 19:27:33+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,700 - 799 BLOCK OF 12TH STREET SE,400846.745502739,134715.396026447,6,6B,1,106,Cluster 26,007100 2,007100,Precinct 91,38.8802721044,-76.9902412534,,2025/03/25 11:30:00+00,2025/03/25 11:35:00+00,710830592,
401039.799999997,139147.710000001,25043696,2025/03/26 23:20:12+00,EVENING,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF 13TH STREET NE,401039.8,139147.71,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,38.9201997676,-76.9880095897,,2025/03/26 22:19:00+00,2025/03/26 22:56:00+00,710830593,
397406.950000003,144018.07,25044277,2025/03/27 22:54:46+00,EVENING,OTHERS,THEFT/OTHER,6060 - 6099 BLOCK OF 13TH STREET NW,397406.95,144018.07,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 60,38.9640701595,-77.0299200542,,2025/03/27 21:18:00+00,2025/03/27 22:36:00+00,710830594,
396582.25,139810.379999999,25044613,2025/03/28 15:49:55+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1650 - 1691 BLOCK OF LANIER PLACE NW,396582.25,139810.38,1,1C,3,303,Cluster 1,003901 1,003901,Precinct 35,38.9261632798,-77.0394149385,,2025/03/28 13:33:00+00,2025/03/28 14:53:00+00,710830595,
397921.119999997,138058.460000001,25045709,2025/04/03 01:54:36+00,EVENING,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF 9TH STREET NW,397921.12,138058.46,2,2G,3,307,Cluster 7,004901 2,004901,Precinct 18,38.910385597,-77.0239692195,,2025/03/30 07:12:00+00,2025/03/30 08:27:00+00,710830596,
397229.119999997,138854.539999999,25045750,2025/03/30 12:48:17+00,DAY,KNIFE,ASSAULT W/DANGEROUS WEAPON,2000 - 2099 BLOCK OF 14TH STREET NW,397229.12,138854.54,1,1B,3,305,Cluster 3,004401 2,004401,Precinct 22,38.9175550432,-77.0319511026,,2025/03/30 10:07:00+00,2025/03/30 12:48:00+00,710830597,
401969.840000004,141475.829999998,25045839,2025/03/30 15:09:12+00,DAY,OTHERS,THEFT F/AUTO,4200 - 4299 BLOCK OF 19TH PLACE NE,401969.84,141475.83,5,5B,5,503,Cluster 20,009400 1,009400,Precinct 69,38.9411705955,-76.9772781905,,2025/03/30 13:00:00+00,2025/03/30 14:32:00+00,710830598,
397509.18,140198.649999999,25046264,2025/03/31 06:20:49+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1100 - 1299 BLOCK OF KENYON STREET NW,397509.18,140198.65,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9296640534,-77.0287265996,,2025/03/31 05:52:00+00,2025/03/31 06:15:00+00,710830599,
396523.210000001,137847.129999999,25046664,2025/03/31 21:16:19+00,EVENING,OTHERS,THEFT F/AUTO,1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW,396523.21,137847.13,2,2B,2,208,Cluster 6,005303 3,005303,Precinct 15,38.9084774459,-77.0400858707,,2025/03/31 03:00:00+00,2025/03/31 21:16:00+00,710830600,
400038.140000001,137846.690000001,25047213,2025/04/02 01:12:38+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1250 - 1299 BLOCK OF 4TH STREET NE,400038.14,137846.69,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9084803579,-76.9995602624,,2025/04/01 19:24:00+00,2025/04/01 20:56:00+00,710830601,
397607.880000003,136337.030000001,25047688,2025/04/03 16:10:30+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF PENNSYLVANIA AVENUE NW,397607.88,136337.03,2,2C,2,209,Cluster 8,005802 3,005802,Precinct 129,38.8948775498,-77.027574841,DOWNTOWN,2025/04/02 16:41:00+00,2025/04/02 16:55:00+00,710830602,
402258.920000002,132857.68,25047860,2025/04/02 22:52:37+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2300 - 2399 BLOCK OF GOOD HOPE ROAD SE,402258.92,132857.68,8,8A,6,607,Cluster 34,007605 3,007605,Precinct 112,38.8635345572,-76.9739720394,,2025/04/01 14:00:00+00,2025/04/02 17:00:00+00,710830603,
398758.710000001,145213.059999999,25051391,2025/04/09 12:21:47+00,DAY,OTHERS,THEFT F/AUTO,100 - 199 BLOCK OF CARROLL STREET NW,398758.71,145213.06,4,4B,4,401,Cluster 17,001702 2,001702,Precinct 63,38.9748378665,-77.014324859,,2025/04/09 12:04:00+00,2025/04/09 12:21:00+00,710830604,
399823.18,137620.010000002,25051750,2025/04/09 23:58:16+00,EVENING,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF 3RD STREET NE,399823.18,137620.01,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.906438329,-77.0020385991,NOMA,2025/04/05 05:00:00+00,2025/04/05 09:00:00+00,710830605,
397616.210000001,142721.039999999,25052006,2025/04/10 15:49:20+00,DAY,OTHERS,THEFT F/AUTO,5100 - 5199 BLOCK OF GEORGIA AVENUE NW,397616.21,142721.04,4,4E,4,403,Cluster 18,002002 3,002002,Precinct 54,38.9523867696,-77.0275009875,,2025/04/06 09:00:00+00,2025/04/06 13:00:00+00,710830606,
397115.780000001,137977.23,25052380,2025/04/11 04:23:40+00,MIDNIGHT,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,397115.78,137977.23,2,2F,2,208,Cluster 7,005203 2,005203,Precinct 16,38.9096515756,-77.0332543444,,2025/04/11 03:25:00+00,2025/04/11 03:27:00+00,710830954,
398187.030000001,137264.170000002,25052926,2025/04/12 06:05:40+00,MIDNIGHT,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF NEW YORK AVENUE NW,398187.03,137264.17,2,2G,3,308,Cluster 8,004802 2,004802,Precinct 18,38.9032309456,-77.0209012146,,2025/04/11 15:00:00+00,2025/04/12 04:48:00+00,710830955,
402874.0,139878.219999999,25053615,2025/04/13 16:58:14+00,DAY,OTHERS,THEFT/OTHER,2705 - 2899 BLOCK OF SOUTH DAKOTA AVENUE NE,402874,139878.22,5,5C,5,503,Cluster 22,011100 1,011100,Precinct 71,38.9267763505,-76.9668555318,,2025/04/12 21:00:00+00,2025/04/13 16:10:00+00,710830956,
398099.020000003,138206.329999998,25053803,2025/04/14 00:34:14+00,EVENING,OTHERS,THEFT/OTHER,1600 - 1623 BLOCK OF 7TH STREET NW,398099.02,138206.33,2,2G,3,307,Cluster 7,004901 2,004901,Precinct 18,38.911718063,-77.0219184648,,2025/04/13 23:26:00+00,,710830957,
397700.460000001,136611.23,25054146,2025/04/14 18:40:14+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF F STREET NW,397700.46,136611.23,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.8973478904,-77.0265085554,DOWNTOWN,2025/04/14 17:32:00+00,2025/04/14 18:17:00+00,710830958,
403990.093199998,133327.931899998,25052212,2025/04/10 22:13:36+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3700 - 3799 BLOCK OF S STREET SE,403990.093249656,133327.931865159,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,38.867764629,-76.9540222104,,2025/04/10 21:46:00+00,2025/04/10 22:13:00+00,710831013,
405745.889200002,137503.594799999,25052350,2025/04/11 06:42:29+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1100 - 1199 BLOCK OF 48TH STREET NE,405745.889219285,137503.594845034,7,7C,6,602,Cluster 31,007806 2,007806,Precinct 93,38.9053708579,-76.9337552876,,2025/04/11 02:02:00+00,2025/04/11 02:48:00+00,710831014,
398273.965000004,134557.440200001,25052621,2025/04/16 02:26:24+00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF 6TH STREET SW,398273.964988351,134557.4401863,6,6D,1,103,Cluster 9,010201 3,010201,Precinct 142,38.8788478901,-77.0198921662,SOUTHWEST,2025/04/11 18:00:00+00,2025/04/11 18:56:00+00,710831015,
398793.710000001,140371.82,25053438,2025/04/13 06:00:50+00,MIDNIGHT,OTHERS,THEFT F/AUTO,100 - 199 BLOCK OF IRVING STREET NW,398793.71,140371.82,5,5E,4,405,Cluster 21,002302 1,002302,Precinct 44,38.9312267245,-77.013912434,,2025/04/13 05:54:00+00,2025/04/13 05:57:00+00,710831016,
405159.869999997,134761.489999998,25054409,2025/04/15 03:01:58+00,MIDNIGHT,OTHERS,THEFT/OTHER,621 - 699 BLOCK OF CHAPLIN STREET SE,405159.87,134761.49,7,7E,6,605,Cluster 33,009907 1,009907,Precinct 103,38.8806726047,-76.9405321316,,2025/04/14 22:45:00+00,2025/04/14 23:14:00+00,710831017,
401410.539999999,140777.52,25054672,2025/04/15 19:50:05+00,EVENING,OTHERS,THEFT F/AUTO,1500 - 1599 BLOCK OF OTIS STREET NE,401410.54,140777.52,5,5B,5,504,Cluster 22,009503 2,009503,Precinct 68,38.9348810891,-76.9837310676,,2025/04/14 12:00:00+00,2025/04/14 16:30:00+00,710831018,
399489.600000001,137576.25,25421197,2025/04/10 11:01:21+00,DAY,OTHERS,THEFT/OTHER,1200 - 1229 BLOCK OF 1ST STREET NE,399489.6,137576.25,6,6E,5,501,Cluster 25,010601 2,010601,Precinct 144,38.9060439932,-77.0058844882,NOMA,2025/04/06 14:15:00+00,2025/04/06 14:30:00+00,710831024,
394622.450000003,137482.75,25421257,2025/04/14 12:30:34+00,DAY,OTHERS,THEFT/OTHER,3100 - 3199 BLOCK OF M STREET NW,394622.45,137482.75,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,38.905185411,-77.0619979449,GEORGETOWN,2025/03/28 19:45:00+00,2025/03/28 19:47:00+00,710831025,
394449.149999999,137479.059999999,25054202,2025/04/14 20:03:37+00,EVENING,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,394449.15,137479.06,2,2E,2,206,Cluster 4,000202 3,000202,Precinct 6,38.9051510928,-77.0639958956,GEORGETOWN,2025/04/07 21:30:00+00,2025/04/07 22:00:00+00,710831367,
397731.600000001,140050.32,25421076,2025/03/27 01:31:26+00,EVENING,OTHERS,THEFT/OTHER,3000 - 3099 BLOCK OF SHERMAN AVENUE NW,397731.6,140050.32,1,1A,3,302,Cluster 2,003100 1,003100,Precinct 38,38.9283284531,-77.0261609421,,2025/03/24 19:12:00+00,2025/03/24 19:12:00+00,710831370,
401498.969999999,138734.57,25421220,2025/04/11 11:00:40+00,MIDNIGHT,OTHERS,THEFT/OTHER,1500 - 1599 BLOCK OF NEW YORK AVENUE NE,401498.97,138734.57,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9164774036,-76.9827155922,,2025/03/18 22:49:00+00,2025/03/18 22:49:00+00,710831371,
397162.350000001,141051.25,25038734,2025/03/18 04:21:02+00,MIDNIGHT,OTHERS,THEFT/OTHER,3700 - 3799 BLOCK OF 14TH STREET NW,397162.35,141051.25,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 49,38.9373434803,-77.0327301113,,2025/03/18 04:10:00+00,,710834478,
397913.132399999,139211.9124,25039010,2025/03/18 18:58:57+00,DAY,OTHERS,THEFT F/AUTO,9TH STREET NW AND BARRY PLACE NW,397913.13241202,139211.91244662,1,1E,3,305,Cluster 3,003500 3,003500,Precinct 37,38.9207762614,-77.0240648212,,2025/03/17 22:30:00+00,2025/03/18 02:30:00+00,710834479,
397104.229999997,139097.850000001,25040582,2025/03/21 13:18:40+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1400 - 1499 BLOCK OF FLORIDA AVENUE NW,397104.23,139097.85,1,1B,3,304,Cluster 2,003701 2,003701,Precinct 23,38.9197464567,-77.0333922392,,2025/03/21 00:00:00+00,2025/03/21 10:00:00+00,710834480,
396830.43,137253.620000001,25040698,2025/03/21 19:27:34+00,EVENING,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF 16TH STREET NW,396830.43,137253.62,2,2C,2,207,Cluster 6,010100 1,010100,Precinct 17,38.9031320626,-77.0365410195,DOWNTOWN,2025/03/21 16:27:00+00,2025/03/21 17:10:00+00,710834481,
400233.789999999,136927.879999999,25041733,2025/03/23 15:38:59+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF H STREET NE,400233.79,136927.88,6,6C,1,104,Cluster 25,008302 2,008302,Precinct 83,38.9002033642,-76.9973048161,,2025/03/23 14:00:00+00,2025/03/23 14:12:00+00,710834482,
400042.75,137251.699999999,25042055,2025/03/24 03:59:14+00,MIDNIGHT,KNIFE,ROBBERY,1000 - 1099 BLOCK OF 5TH STREET NE,400042.75,137251.7,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 83,38.9031204801,-76.9995071482,,2025/03/24 02:57:00+00,2025/03/24 04:05:00+00,710834483,
397330.140000001,138916.41,25042618,2025/03/25 05:53:53+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF V STREET NW,397330.14,138916.41,1,1B,3,305,Cluster 3,004401 2,004401,Precinct 22,38.9181127012,-77.0307864786,,2025/03/25 01:33:00+00,2025/03/25 01:34:00+00,710834484,
399323.539999999,138138.68,25043422,2025/03/26 14:41:29+00,DAY,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF Q STREET NE,399323.54,138138.68,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9111104443,-77.0077995761,,2025/03/25 21:00:00+00,2025/03/26 13:45:00+00,710834485,
402255.130000003,131885.77,25045203,2025/03/29 16:02:55+00,DAY,OTHERS,BURGLARY,2900 - 2999 BLOCK OF LANGSTON PLACE SE,402255.13,131885.77,8,8B,7,702,Cluster 36,007408 2,007408,Precinct 115,38.8547791918,-76.9740188961,,2025/03/29 12:57:00+00,2025/03/29 15:11:00+00,710834486,
400995.890000001,138511.609999999,25045800,2025/03/30 13:26:10+00,DAY,OTHERS,THEFT F/AUTO,1230 - 1249 BLOCK OF NEW YORK AVENUE NE,400995.89,138511.61,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9144696197,-76.9885168587,,2025/03/26 17:40:00+00,2025/03/26 17:50:00+00,710834487,
401211.600000001,138483.239999998,25045939,2025/03/30 19:06:47+00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF OKIE STREET NE,401211.6,138483.24,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9142137824,-76.9860296578,,2025/03/30 17:37:00+00,2025/03/30 18:00:00+00,710834488,
401961.109999999,133227.050000001,25046523,2025/04/01 11:58:53+00,DAY,OTHERS,THEFT F/AUTO,1800 - 1921 BLOCK OF T PLACE SE,401961.11,133227.05,8,8A,6,607,Cluster 34,007605 1,007605,Precinct 112,38.866862709,-76.9774024428,,2025/03/31 18:19:00+00,2025/03/31 18:45:00+00,710834489,
398597.659999996,138408.399999999,25046819,2025/04/01 02:18:47+00,EVENING,GUN,MOTOR VEHICLE THEFT,1714 - 1779 BLOCK OF 4TH STREET NW,398597.66,138408.4,5,5E,3,308,Cluster 21,004600 2,004600,Precinct 19,38.9135393149,-77.016169515,,2025/03/31 23:25:00+00,2025/03/31 23:40:00+00,710834490,
400121.380000003,137998.899999999,25046879,2025/04/01 05:30:37+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF 4TH STREET NE,400121.38,137998.9,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9098515103,-76.9986005147,,2025/04/01 03:45:00+00,2025/04/01 04:07:00+00,710834491,
403949.432099998,135293.9593,25047040,2025/04/01 16:46:34+00,DAY,OTHERS,THEFT/OTHER,200 - 499 BLOCK OF ANACOSTIA ROAD SE,403949.432097618,135293.959290984,7,7B,6,603,Cluster 32,007703 4,007703,Precinct 107,38.8854755628,-76.9544794517,,2025/04/01 15:15:00+00,2025/04/01 16:10:00+00,710834492,
392544.93,140656.539999999,25047224,2025/04/01 20:50:21+00,EVENING,OTHERS,THEFT F/AUTO,3300 - 3399 BLOCK OF NEW MEXICO AVENUE NW,392544.93,140656.54,3,3B,2,205,Cluster 14,000803 2,000803,Precinct 10,38.9337607693,-77.0859841914,,2025/04/01 11:00:00+00,2025/04/01 20:05:00+00,710834493,
397107.049999997,139182.649999999,25047293,2025/04/01 22:31:13+00,EVENING,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF BELMONT STREET NW,397107.05,139182.65,1,1B,3,304,Cluster 2,003701 2,003701,Precinct 23,38.9205103719,-77.033360078,,2025/04/01 12:00:00+00,2025/04/01 22:11:00+00,710834494,
